importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,VT,,,10,-24,-5,,,0.00025,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,SLEA,,,-18,9,-15,,,-1.4e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,GOb,,,22,51,-2,,,3.3e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,GOb,,,-24,42,2,,,1.2e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,GOb,,,34,42,-2,,,5.1e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,GOb,,,-33,24,-5,,,1.9e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,Amyg,,,-18,0,-15,,,-0.00063,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,Amyg,,,-27,-6,-21,,,0.0005,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,Amyg,,,28,3,-28,,,0.00016,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,Hypo,,,3,-12,-8,,,2.4e-05,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,8.11,8,22,58,,81.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,7.16,12,58,22,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,8.21,-2,58,10,,908.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,6.85,-2,40,46,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,8.78,8,56,22,,1229.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,7.7,10,18,60,,32.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,6.55,-8,22,58,,111.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,8.35,-4,50,20,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward; context-dependent reward,R,Middle temporal gyrus,,5.29,60,-12,-12,,22.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,R,Ventral striatum,,8.67,24,0,-8,,400.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,L,Ventral striatum,,8.61,-26,-2,-12,,88.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,R,Lingual gyrus,,9.47,16,-68,-12,,10028.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,L,Lingual gyrus,,10.63,-16,-86,-2,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,R,Inferior temporal gyrus,,8.99,40,-78,-12,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,L,Inferior temporal gyrus,,9.88,-42,-62,-12,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,R,Posterior lobe of cerebellum,,9.45,-10,-72,-20,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach; gambling;positive reward,L,Posterior lobe of cerebellum,,8.52,-34,-64,-32,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,R,Ventral striatum,,6.88,26,2,-10,,26.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,L,Ventral striatum,,7.51,-24,4,-12,,64.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,R,Posterior lobe of cerebellum,,8.69,38,-76,-28,,2426.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,L,Posterior lobe of cerebellum,,8.15,-28,-78,-20,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,L,Lateral occipital cortex,,7.86,-22,-92,-6,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,L,Medial aspect of superior frontal gyrus,,10.57,-8,58,26,,1975.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,R,Medial aspect of superior frontal gyrus,,9.05,4,56,24,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,L,Medial aspect of superior frontal gyrus,,8.53,-4,46,10,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,L,Medial aspect of superior frontal gyrus,,6.9,-6,20,60,,92.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward,,Posterior cingulate gyrus,,6.51,0,-24,38,,52.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward,R,Medial aspect of superior frontal gyrus,,9.76,4,52,24,,2528.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward,R,Middle temporal gyrus,,5.06,58,-14,-22,,3.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward,L,Middle temporal gyrus,,5.7,-58,-14,-20,,25.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward,,Vermis,,5.02,6,-62,-6,,2.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a win following four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,R,Middle frontal gyrus,,7.52,34,22,52,,850.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a win following four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; positive reward; context-dependent reward,R,Middle frontal gyrus,,5.98,26,42,38,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a loss following four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward; context-dependent reward,R,Middle frontal gyrus,,5.38,36,30,36,,317.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a loss following four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; negative reward; context-dependent reward,R,Middle frontal gyrus,,4.94,26,16,54,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,,Medial OFC,,4.84,0,44,-8,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Lateral OFC,,4.62,-16,42,-18,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Lateral OFC,,5.23,-18,38,-20,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Inferior frontal gyrus pars triangularis,,4.7,-44,32,12,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Middle frontal gyrus,,6.75,-26,34,44,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Posterior middle frontal gyrus,,4.64,-22,4,48,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Superior frontal gyrus,,5.38,26,28,50,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Posterior superior frontal gyrus (SMA),,5.54,2,0,46,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Cingulate cortex,,5.06,-4,-18,40,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Ventral striatum,,8.37,-16,8,-12,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Ventral striatum,,7.73,28,0,-10,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Dorsal thalamus,,5.46,-10,-10,18,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Superior temporal gyrus,,7.57,-60,-12,2,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Superior temporal gyrus,,7.63,62,2,-4,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Inferior temporal gyrus,,6.66,-54,-62,-20,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,,Cerebellar vermis,,4.89,0,-40,-34,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Cerebellar hemisphere,,6.69,-28,-54,-22,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Retrosplenial cortex,,5.02,2,-50,16,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Lingual gyrus,,5.1,-14,-66,-2,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Occipital cortex,,6.39,-26,-82,40,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Occipital cortex,,5.4,32,-74,32,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Posterior inferior occipital cortex,,4.82,28,-92,-18,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Precentral gyrus,,5.3,-38,-16,50,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Precentral gyrus,,4.97,24,-22,56,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Precentral gyrus,,6.36,58,0,36,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Central sulcus,,4.76,-46,-12,32,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,R,Paracentral lobule,,5.57,2,-36,52,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task,L,Superior parietal lobule,,4.77,-22,-60,42,,,,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,Cingulate gyrus/SMA,6/32,,4,7,42,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Primary somatosensory cortex,3/1/2,,-44,-26,39,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Precentral gyrus,6,,-51,-2,39,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,Inferior parietal,40,,67,-21,32,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Inferior parietal,40,,-40,-23,20,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,Inferior frontal gyrus,44,,46,7,27,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Inferior frontal gyrus,44,,-44,1,16,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,Inferior frontal gyrus,45,,47,18,4,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Inferior frontal gyrus,45,,-18,28,11,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Insula,,,-32,8,12,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Thalamus/midbrain,,,-8,-17,8,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,Dorsal striatum—caudate,,,11,12,11,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Dorsal striatum—caudate,,,-5,8,6,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Ventral striatum,,,-12,4,-3,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Precuneus,18/19,,-22,-74,27,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,Inferior occipital gyrus,18,,33,-80,0,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,Fusiform gyrus,37,,40,-54,-15,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,Fusiform gyrus,37,,-42,-55,-15,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,R,Superior frontal gyrus,9,,10,47,36,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,Superior frontal gyrus,9,,-11,46,36,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,Posterior cingulate,31,,-6,-34,39,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,Precuneus,7,,-3,-57,32,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,R,Insula,,,38,-14,16,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,R,Superior temporal gyrus,42,,38,-23,7,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,Superior temporal gyrus,22/21,,-55,-16,1,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,L,Dorsal striatum—caudate,,,-12,15,7,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,R,Dorsal striatum—caudate,,,11,16,7,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,R,Superior frontal gyrus,9,,40,37,32,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,L,Ventral striatum,,,-14,0,-8,,,0.001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,L,Medial temporal lobe,,,-21,-14,-7,,,0.001,
