importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Insula,Left,,-48,15,0,,22,,,4.89,20.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Precuneus,Right,,9,-66,45,,22,,,13.66,3063.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Precuneus,Right,,9,-66,45,,22,,,8.47,367.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Precuneus,Right,,36,-69,45,,22,,,10.98,306.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Inferior Parietal Lobule,Left,,-45,-42,48,,22,,,10.57,367.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Thalamus,Right,,9,-12,15,,22,,,8.47,499.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Middle Temporal Gyrus,Left,,-51,-39,-9,,22,,,10.01,1834.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Middle Temporal Gyrus,Left,,-51,-39,-9,,22,,,10.01,196.0
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching,task switching > control task,fMRI; MNI; task switching;visual shape color;n-back task,Middle Temporal Gyrus,Right,,63,-42,-3,,22,,,8.37,156.0
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Insula,Right,,32,24,2,,50,299.0,,7.22,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Cerebellum (Lobule VI),Left,,-30,-58,-34,,50,672.0,,6.13,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Cerebellum (Crus1),Left,,-42,-70,-20,,50,672.0,,4.81,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Cerebellum (Crus1),Left,,-46,-48,-28,,50,672.0,,4.62,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Inferior parietal,Left,,-36,-50,44,,50,1672.0,,5.99,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Inferior parietal,Left,,-36,-44,38,,50,1672.0,,5.93,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Inferior parietal,Left,,-36,-44,38,,50,1672.0,,5.68,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Precentral,Left,,-44,2,28,,50,695.0,,5.81,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Inferior frontal tri,Left,,-48,22,26,,50,695.0,,5.0,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Inferior frontal tri,Left,,-38,20,26,,50,695.0,,4.57,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Insula,Left,,-30,24,-2,,50,347.0,,5.31,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Inferior frontal tri,Left,,-44,16,4,,50,347.0,,5.0,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Inferior frontal oper,Left,,-54,12,2,,50,347.0,,4.97,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Cerebellum (Crus 2),Left,,-10,-76,-32,,50,52.0,,4.65,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Supplementary motor area,Left,,-8,12,48,,50,65.0,,4.32,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Middle frontal,Left,,-26,4,50,,50,98.0,,4.23,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Superior motor area,Right,,8,16,46,,50,113.0,,4.19,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Middle cingulum,Right,,8,22,40,,50,113.0,,4.08,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Middle frontal,Right,,38,48,12,,50,43.0,,4.03,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Insula,Right,,32,24,0,,50,299.0,,6.34,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Inferior frontal oper,Right,,46,16,4,,50,299.0,,5.72,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Cerebellum (Lobule VI),Left,,-30,-56,-34,,50,839.0,,5.33,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Cerebellum (Crus1),Left,,-42,-50,-26,,50,839.0,,4.79,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Cerebellum (Crus1),Left,,-34,-72,-26,,50,839.0,,4.71,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Inferior parietal,Left,,-34,-50,42,,50,794.0,,5.11,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Inferior parietal,Left,,-44,-48,46,,50,794.0,,4.94,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Middle occipital,Left,,-30,-72,24,,50,794.0,,4.82,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Insula,Left,,-32,20,4,,50,149.0,,5.04,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Cerebellum (Crus 1),Left,,-12,-74,-32,,50,50.0,,4.57,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Precentral,Left,,-42,2,30,,50,103.0,,4.48,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Inferior frontal tri,Left,,-46,20,30,,50,75.0,,4.18,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-2 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual object,Middle frontal,Left,,-44,30,36,,50,75.0,,4.05,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Precentral,Left,,-44,6,30,,50,242.0,,5.56,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Cerebellum (Crus1),Left,,-26,-64,-32,,50,370.0,,5.52,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Cerebellum (Crus2),Left,,-10,-76,-32,,50,370.0,,4.99,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Cerebellum (Crus1),Left,,-14,-68,-32,,50,370.0,,4.18,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Inferior parietal,Left,,-42,-48,54,,50,995.0,,5.52,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Inferior parietal,Left,,-36,-48,38,,50,995.0,,5.21,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Inferior parietal,Left,,-52,-36,46,,50,995.0,,5.04,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Insula,Right,,32,26,2,,50,152.0,,4.75,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Inferior frontal tri,Right,,42,20,8,,50,152.0,,4.08,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Insula,Left,,-30,28,2,,50,89.0,,4.52,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Vermis_8,Right,,-2,-60,-30,,50,71.0,,4.44,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Middle cingulum,Right,,10,22,38,,50,102.0,,4.42,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Middle occipital,Left,,-30,-82,20,,50,120.0,,4.35,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Cerebellum (Crus1),Left,,-40,-78,-18,,50,208.0,,4.17,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces,Fusiform gyrus,Left,,-40,-66,-14,,50,208.0,,4.16,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Cerebellum,Left,,-26,-64,-32,,50,117.0,,5.27,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Inferior parietal,Left,,-36,-48,38,,50,671.0,,5.22,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Supramarginal,Left,,-50,-40,42,,50,,,4.7,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Angular,Left,,-34,-62,38,,50,,,4.27,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Precentral,Left,,-44,6,30,,50,187.0,,5.21,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Insula,Right,,32,26,2,,50,105.0,,4.75,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Insula,Left,,-30,28,2,,50,58.0,,4.31,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Inferior frontal/insula,Right,,32,20,-6,,50,63.0,,5.6,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Inferior frontal/insula,Right,,32,18,4,,50,,,5.55,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Inferior frontal oper,Left,,-54,12,2,,50,58.0,,4.97,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Inferior temporal,Left,,-46,-48,-28,,50,57.0,,4.62,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Inferior frontal tri,Left,,-38,20,26,,50,70.0,,4.57,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Middle frontal,Right,,38,48,12,,50,43.0,,4.03,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Middle occipital,Left,,-30,-82,20,,50,79.0,,4.35,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition,Cerebellum,Left,,-12,-70,-30,,50,79.0,,4.05,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Superior frontal G,R,6,14,1,52,5.12,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Superior frontal G,L,6,-23,-1,54,5.03,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Middle frontal G,R,6,34,-7,44,4.75,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Middle frontal G,R,8/9,33,40,34,3.82,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Middle frontal G,L,6,-41,-1,50,5.03,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Middle frontal G,L,6/8/9,-32,7,59,5.0,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Middle frontal G,L,10,-37,45,7,4.7,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Inferior frontal G,R,9,58,9,32,4.83,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Inferior frontal G,L,10,-38,47,1,4.89,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Inferior frontal G,R,44/45/46,46,7,26,3.97,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Inferior frontal G,L,44/45/46/47,-44,10,21,3.92,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Precentral G,R,4/6,45,-3,42,4.41,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Precentral G,L,6/9,-47,1,26,5.01,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Precentral G,L,4/6,-34,-10,50,5.61,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Medial frontal G,R,6/8,12,1,54,5.13,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Medial frontal G,L,6/8,-7,16,45,4.84,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Anterior cingulate G,R,24,7,19,41,5.01,14,263.0,,,
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,Anterior cingulate G,R,24,4,0,46,5.01,14,263.0,,,
