importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV,index_col,MNIX,MNIY,MNIZ,TALX,TALY,TALZ,significance
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,brainstem,r,,8,-28,-21,3.72,14,486.0,,,,409,9.564,-30.187,-25.065,8.0,-28.0,-21.0,9.961138897591648e-05
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,brainstem,l,,-14,-21,-15,3.53,14,263.0,,,,410,-13.923,-22.412,-18.756,-14.0,-21.0,-15.0,0.0002077798334806214
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,red nucleus,r,,9,-18,-7,3.4,14,263.0,,,,411,10.709,-18.407,-10.453,9.0,-18.0,-7.0,0.00033692926567688086
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,red nucleus,l,,-9,-20,-6,3.17,14,263.0,,,,412,-8.51,-20.551,-8.938,-9.0,-20.0,-6.0,0.0007621946880672346
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,cerebellum,r,,6,-56,-30,4.71,14,78.0,,,,413,7.464,-60.578,-32.529,6.0,-56.0,-30.0,1.2385839573524676e-06
++,Lee et al,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).,1-back > rest,fMRI; working memory; talairach; n-back task; one-back task; visual numbers,cerebellum,l,,-37,-54,-30,4.75,14,78.0,,,,414,-38.494,-58.739,-32.156,-37.0,-54.0,-30.0,1.0170832425687032e-06
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,superior frontal gyrus,left,8,-4,16,50,,42,,,5.27,,415,-4.0,16.0,50.0,-5.099,10.036,49.644,0.0001814056692022031
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,inferior frontal gyrus,left,45,-38,28,6,,42,,,7.01,,416,-38.0,28.0,6.0,-36.561,24.726,10.742,1.8355346349075616e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,anterior insula,left,13,-30,22,-10,,42,,,5.39,,417,-30.0,22.0,-10.0,-28.978,20.198,-3.974,0.00015286137155771866
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,superior temporal gyrus,left,38,-54,8,-14,,42,,,5.5,,418,-54.0,8.0,-14.0,-51.446,7.49,-8.861,0.00013089418674726844
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,superior temporal gyrus,left,39,-44,-50,26,,42,,,6.03,,419,-44.0,-50.0,26.0,-42.545,-49.976,22.748,6.346789000010426e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,inferior temporal gyrus,left,20,-60,-18,-16,,42,,,5.63,,420,-60.0,-18.0,-16.0,-57.121,-16.755,-12.671,0.00010920611526225388
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,inferior parietal lobule,left,40,-40,-44,52,,42,,,5.83,,421,-40.0,-44.0,52.0,-38.972,-46.252,46.555,8.302488311146184e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,inferior parietal lobule,left,40,-38,-46,46,,42,,,5.42,,422,-38.0,-46.0,46.0,-37.064,-47.708,41.045,0.00014650361782840836
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,posterior cingulate,left,31,-18,-54,26,,42,,,6.19,,423,-18.0,-54.0,26.0,-18.229,-53.903,22.716,5.13944855614018e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,posterior cingulate,left,31,-8,-54,22,,42,,,5.63,,424,-8.0,-54.0,22.0,-8.843,-53.678,19.232,0.00010920611526225388
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,posterior cingulate,left,23,-6,-54,16,,42,,,5.19,,425,-6.0,-54.0,16.0,-6.928,-53.255,13.872,0.00020357064829339163
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,frontal operculum/anterior insula,right,13,34,20,0,,42,,,5.52,,426,34.0,20.0,0.0,30.83,17.177,5.502,0.0001272769193172706
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,anterior cingulate,right,25,4,18,-8,,42,,,5.82,,427,4.0,18.0,-8.0,2.81,16.074,-2.131,8.41595126453338e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,middle frontal gyrus,right,6,28,4,56,,42,,,6.44,,428,28.0,4.0,56.0,24.766,-1.883,54.452,3.7210650508745494e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,precentral gyrus,right,6,40,-8,48,,42,,,5.89,,429,40.0,-8.0,48.0,36.017,-12.656,46.5,7.65532536318638e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,superior temporal gyrus,right,22,56,6,-2,,42,,,6.35,,430,56.0,6.0,-2.0,51.389,4.025,2.882,4.1758970846956114e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,middle temporal gyrus,right,21,52,-36,-2,,42,,,6.5,,431,52.0,-36.0,-2.0,47.524,-35.412,-0.318,3.447706454261983e-05
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,superior parietal lobule,right,7,34,-46,48,,42,,,5.39,,432,34.0,-46.0,48.0,30.292,-48.321,43.58,0.00015286137155771866
++,Pierce et al,Past experience shapes ongoing neural patterns for language,Table 1 - Coordinates of maximum peaks within significant clusters for 3-3 ANOVA main effects of group (French monolingual; Chinese-French bilingual; international adoptee) and condition (0-back; 1-back; 2-back); controlling for age and duration of exposure to French,2-back > 1-back > 0-back,fMRI; working memory; MNI; n-back task;verbal pseudo-words,precuneus,right,7,12,-66,36,,42,,,5.56,,433,12.0,-66.0,36.0,9.736,-66.099,31.089,0.00012035983168567059
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,hippocampus,l,,-27,-24,-15,,6,,0.05,6.83,,434,-27.803,-25.667,-18.324,-27.0,-24.0,-15.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,mesial frontal cortex,l,10/32,-12,45,-6,,6,,0.05,6.84,,435,-11.973,48.161,-14.66,-12.0,45.0,-6.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,insula,r,,36,-6,18,,6,,0.05,6.56,,436,39.72,-3.404,15.835,36.0,-6.0,18.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,mesial frontal cortex,r,10/32,6,42,-3,,6,,0.05,5.93,,437,7.299,45.361,-11.301,6.0,42.0,-3.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,temporal pole,l,21,-48,6,-24,,6,,0.05,6.56,,438,-50.437,5.149,-30.685,-48.0,6.0,-24.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,temporal pole,l,21,-48,6,-27,,6,,0.05,5.04,,439,-50.461,4.892,-34.009,-48.0,6.0,-27.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,superior/middle frontal gyrus,l,11,-9,39,-9,,6,,0.05,6.51,,440,-8.768,41.579,-17.491,-9.0,39.0,-9.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,orbital sulcus,l,11/47,-27,39,-12,,6,,0.001,4.75,,441,-28.028,41.206,-20.584,-27.0,39.0,-12.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,middle temporal gyrus,r,22,45,-30,3,,6,,0.05,6.42,,442,49.309,-30.009,1.228,45.0,-30.0,3.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,temporal pole,r,21,42,6,-30,,6,,0.001,4.02,,443,45.688,5.212,-38.486,42.0,6.0,-30.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,hippocampus,r,,24,-27,-18,,6,,0.05,6.18,,444,26.683,-28.77,-22.035,24.0,-27.0,-18.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,hippocampus,r,,36,3,-18,,6,,0.001,3.71,,445,39.387,3.029,-24.848,36.0,3.0,-18.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,orbital sulcus,l,11,-18,45,-9,,6,,0.05,6.18,,446,-18.409,47.865,-17.907,-18.0,45.0,-9.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,parital-occipital junction,r,39,33,-54,24,,6,,0.05,5.83,,447,36.754,-53.665,26.775,33.0,-54.0,24.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,orbital gyrus,l,47/11,-27,24,-6,,6,,0.05,5.6,,448,-27.919,25.859,-12.607,-27.0,24.0,-6.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,anterior insula,l,,-27,24,-6,,6,,0.05,5.6,,449,-27.919,25.859,-12.607,-27.0,24.0,-6.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,sgpfc/ventral striatum,,25,0,9,-12,,6,,0.05,5.54,,450,0.943,9.657,-18.271,0.0,9.0,-12.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,insula,r,,51,-3,-12,,6,,0.05,5.09,,451,55.49,-2.705,-17.861,51.0,-3.0,-12.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,superior frontal gyrus,r,8,27,3,42,,6,,0.05,4.85,,452,30.265,8.111,41.743,27.0,3.0,42.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,acc,l,24/32,-12,39,6,,6,,0.001,4.69,,453,-11.85,42.844,-0.833,-12.0,39.0,6.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,superior frontal sulcus,l,8,-21,18,39,,6,,0.001,4.25,,454,-21.112,23.408,37.705,-21.0,18.0,39.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - positive reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters,superior frontal sulcus,r,8,12,45,36,,6,,0.001,4.08,,455,14.021,51.912,31.565,12.0,45.0,36.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,cerebellum,r,,3,-75,18,,6,,0.001,6.02,,456,4.73,-76.576,22.373,3.0,-75.0,18.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,middle frontal gyrus,l,10/46,-39,54,12,,6,,0.05,6.35,,457,-40.712,59.046,4.831,-39.0,54.0,12.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,mesial frontal cortex,,10,0,57,0,,6,,0.05,5.9,,458,0.852,61.44,-9.23,0.0,57.0,0.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,parieto-occipital sulcus,r,19,21,-66,39,,6,,0.05,5.59,,459,24.102,-65.145,44.612,21.0,-66.0,39.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,superior frontal gyrus,l,10,-15,63,9,,6,,0.05,5.63,,460,-15.126,68.46,0.402,-15.0,63.0,9.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,cerebellum,r,,48,-51,-21,,6,,0.05,5.22,,461,52.399,-54.251,-23.539,48.0,-51.0,-21.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,cerebellum,l,,-54,-57,-18,,6,,0.05,5.86,,462,-56.549,-60.992,-18.377,-54.0,-57.0,-18.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,cerebellum,l,,-54,-60,-15,,6,,0.05,5.11,,463,-56.513,-63.907,-14.787,-54.0,-60.0,-15.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,precuneus,r,31,15,-63,27,,6,,0.05,5.23,,464,17.58,-63.039,31.127,15.0,-63.0,27.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,superior/middle frontal gyrus,r,10,24,48,0,,6,,0.05,5.0,,465,26.535,52.077,-8.74,24.0,48.0,0.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,middle temporal gyrus,r,21,57,-42,-12,,6,,0.05,5.09,,466,62.056,-43.906,-14.481,57.0,-42.0,-12.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,middle frontal gyrus,l,46,-48,42,15,,6,,0.05,4.94,,467,-50.257,46.557,9.333,-48.0,42.0,15.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,caudate nucleus,r,,15,3,24,,6,,0.05,4.98,,468,17.294,6.492,21.954,15.0,3.0,24.0,0.05
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,inferior frontal gyrus,l,44,-60,12,27,,6,,0.001,4.39,,469,-62.862,15.786,25.441,-60.0,12.0,27.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,caudate nucleus,l,,-18,9,24,,6,,0.001,4.06,,470,-17.994,12.626,21.845,-18.0,9.0,24.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,acc,l,32,-3,27,33,,6,,0.001,4.2,,471,-1.962,32.526,30.029,-3.0,27.0,33.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,hippocampus,r,,33,-27,-18,,6,,0.001,4.59,,472,36.3,-28.712,-22.15,33.0,-27.0,-18.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,inferior frontal gyrus,l,10/44,-48,48,0,,6,,0.001,4.07,,473,-50.405,51.616,-7.817,-48.0,48.0,0.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,posterior acc,l,24/32,-3,24,33,,6,,0.001,4.47,,474,-1.95,29.354,30.295,-3.0,24.0,33.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,middle frontal gyrus,l,9/46,-33,51,27,,6,,0.001,3.77,,475,-34.165,57.198,21.638,-33.0,51.0,27.0,0.001
++,Pochon et al,The neural system that bridges reward and cognition in humans  An fMRI study,Table 1-1 Activation and deactivation associated with reward - negative reward,3-back > 2-back > 1-back > 0-back,fMRI; working memory; reward value; monetary reward; talairach; negative reward; n-back task; visual letters,superior temporal gyrus,l,42,-63,-9,12,,6,,0.001,4.43,,476,-66.109,-7.724,10.722,-63.0,-9.0,12.0,0.001
++,Taylor et al,A functional neuroimaging study of motivation and executive function,Table 3-1 - Activation foci for the DELAY(anticipation phase) event - memory load,-,fMRI; working memory; anticipation phase; monetary reward; MNI; n-back task; visual shape,medial frontal/anterior cingulate cortex,,6/32,-2,12,54,4.64,12,780.0,,,,477,-2.0,12.0,54.0,-3.268,5.974,52.951,1.742045890344657e-06
++,Taylor et al,A functional neuroimaging study of motivation and executive function,Table 3-1 - Activation foci for the DELAY(anticipation phase) event - memory load,-,fMRI; working memory; anticipation phase; monetary reward; MNI; n-back task; visual shape,medial frontal/anterior cingulate cortex,,6/32,2,18,46,4.81,12,780.0,,,,478,2.0,18.0,46.0,0.55,12.166,46.27,7.546514791463721e-07
