importance,author,title,table_name,contrast,keywords,Left/Right,Name,X(R),Y(A),Z(S),NV,t,subjects,Broadman Area,cluster size,z-score,p value
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-3  Summary of the activations in the whole brain contrasts. Contrast decision phase choice > no choice,choice > no choice,fMRI; decision phase; decision making; monetary reward; MNI; gambling; visual color pies with probabilities,Right,superior parietal,28.0,-62,38.0,,6.85,20,,2508.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-3  Summary of the activations in the whole brain contrasts. Contrast decision phase choice > no choice,choice > no choice,fMRI; decision phase; decision making; monetary reward; MNI; gambling; visual color pies with probabilities,Right,insula,30.0,26,4.0,,5.6,20,,582.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-3  Summary of the activations in the whole brain contrasts. Contrast decision phase choice > no choice,choice > no choice,fMRI; decision phase; decision making; monetary reward; MNI; gambling; visual color pies with probabilities,Left,superior parietal lobule,-24.0,-66,44.0,,5.46,20,,801.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-3  Summary of the activations in the whole brain contrasts. Contrast decision phase choice > no choice,choice > no choice,fMRI; decision phase; decision making; monetary reward; MNI; gambling; visual color pies with probabilities,Left,frontal superior gyrus,-24.0,-2,46.0,,5.25,20,,338.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-3  Summary of the activations in the whole brain contrasts. Contrast decision phase choice > no choice,choice > no choice,fMRI; decision phase; decision making; monetary reward; MNI; gambling; visual color pies with probabilities,Left,Insula,-24.0,20,6.0,,5.2,20,,685.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-3  Summary of the activations in the whole brain contrasts. Contrast decision phase choice > no choice,choice > no choice,fMRI; decision phase; decision making; monetary reward; MNI; gambling; visual color pies with probabilities,Right,middle frontal gyrus,44.0,36,20.0,,4.49,20,,259.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-3  Summary of the activations in the whole brain contrasts. Contrast decision phase choice > no choice,choice > no choice,fMRI; decision phase; decision making; monetary reward; MNI; gambling; visual color pies with probabilities,Right,inferior frontal gyrus,48.0,8,26.0,,4.33,20,,185.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-4  Summary of the activations in the whole brain contrasts. Contrast decision phase risky gambles > safe gambles,risky gambles > safe gambles,fMRI; decision phase; decision making; monetary reward; MNI; gambling; risk choice; visual color pies with probabilities,Bilateral,ACC,-10.0,36,20.0,,4.17,20,,235.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-4  Summary of the activations in the whole brain contrasts. Contrast decision phase risky gambles > safe gambles,risky gambles > safe gambles,fMRI; decision phase; decision making; monetary reward; MNI; gambling; risk choice; visual color pies with probabilities,Right,middle occipital gyrus,30.0,-92,-2.0,,6.07,20,,424.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-4  Summary of the activations in the whole brain contrasts. Contrast decision phase risky gambles > safe gambles,risky gambles > safe gambles,fMRI; decision phase; decision making; monetary reward; MNI; gambling; risk choice; visual color pies with probabilities,Left,middle occipital gyrus,-28.0,-92,-8.0,,5.03,20,,158.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-4  Summary of the activations in the whole brain contrasts. Contrast decision phase risky gambles > safe gambles,risky gambles > safe gambles,fMRI; decision phase; decision making; monetary reward; MNI; gambling; risk choice; visual color pies with probabilities,Left,insula,-28.0,-20,-4.0,,4.32,20,,155.0,,
++,Vassena et al,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice,Table 1-4  Summary of the activations in the whole brain contrasts. Contrast decision phase risky gambles > safe gambles,risky gambles > safe gambles,fMRI; decision phase; decision making; monetary reward; MNI; gambling; risk choice; visual color pies with probabilities,Right,fusiform gyrus,40.0,-60,-12.0,,3.88,20,,148.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,ventral striatum,10.0,6,2.0,441.0,4.38,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,ventral striatum,-8.0,8,2.0,267.0,5.31,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,anterior insula/IFG,32.0,26,-8.0,1101.0,7.67,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,anterior insula/IFG,-40.0,20,-12.0,1083.0,7.12,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,orbitofrontal cortex,-30.0,54,-4.0,255.0,4.21,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,dorsal anterior cingulate cortex,-10.0,26,32.0,555.0,4.64,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,dorsal anterior cingulate cortex,10.0,28,34.0,135.0,4.43,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,medial temporal gyrus,54.0,-38,-6.0,441.0,4.67,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,medial temporal gyrus,-58.0,-36,-16.0,106.0,4.5,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,DLPFC,44.0,18,24.0,403.0,4.65,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,DLPFC,40.0,36,16.0,159.0,3.72,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,DLPFC,-46.0,6,38.0,215.0,3.92,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,lateral occipital cortex,42.0,-90,-6.0,2160.0,7.45,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,lateral occipital cortex,-40.0,-90,-8.0,2767.0,6.41,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; high > low reward value level,L,ventral striatum,-6.0,10,2.0,14.0,5.17,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; high > low reward value level,R,anterior insula/IFG,40.0,26,-14.0,13.0,5.0,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,lateral occipital cortex,36.0,-96,-4.0,612.0,9.17,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral occipital cortex,-36.0,-92,-4.0,201.0,5.82,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,DLPFC,-52.0,10,22.0,49.0,4.57,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,DLPFC,-54.0,-2,32.0,33.0,4.56,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,hippocampal area,-18.0,-12,-16.0,41.0,4.28,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,ventral striatum,-12.0,6,0.0,34.0,4.39,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,gyrus fusiformis,-30.0,-64,-10.0,90.0,5.14,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,,gyrus fusiformis,-24.0,-50,-12.0,75.0,4.54,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,R,gyrus fusiformis,34.0,-60,-14.0,121.0,4.42,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,R,lateral occipital cortex,42.0,-90,-4.0,435.0,5.94,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,lateral occipital cortex,-20.0,-98,-10.0,215.0,5.45,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,,MPFC,2.0,50,-12.0,1184.0,5.53,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,,MPFC,-8.0,34,-22.0,,5.48,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral orbitofrontal cortex,-36.0,34,-18.0,87.0,4.04,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,DLPFC,-26.0,26,44.0,76.0,4.08,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,hippocampal area,-22.0,-18,-22.0,310.0,5.09,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,hippocampal area,22.0,-16,-24.0,189.0,5.43,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,amygdala,22.0,0,-20.0,189.0,3.48,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,medial temporal gyrus,-60.0,-30,8.0,132.0,4.8,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,precuneus,14.0,-54,12.0,1177.0,6.06,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,lateral occipital cortex,34.0,-96,-4.0,1265.0,9.19,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral occipital cortex,-34.0,-94,-4.0,297.0,5.68,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,expected reward > received reward,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,L,ventral striatum,-10.0,10,-6.0,3794.0,6.56,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,expected reward > received reward,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,R,ventral striatum,10.0,12,-2.0,3794.0,5.51,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,expected reward > received reward,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,,medial prefrontal cortex,-8.0,36,-12.0,2863.0,5.62,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,expected reward > received reward,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,R,lateral occipital cortex,32.0,-96,-2.0,1575.0,7.98,15,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,expected reward > received reward,fMRI; MNI; reward magnitude; reward value; money reward; outcome phase; anova; decision making; performance-dependent; modelling prediction error,L,lateral occipital cortex,-32.0,-98,-2.0,700.0,7.06,15,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,beautiful faces > average faces,fMRI; outcome phase; viewing; social reward; talairach; passive;,,VT,3.0,-18,-15.0,,,6,,,,4.4e-05
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,beautiful faces > average faces,fMRI; outcome phase; viewing; social reward; talairach; passive;,,VT,-3.0,-8,-15.0,,,6,,,,1.4e-05
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,beautiful faces > average faces,fMRI; outcome phase; viewing; social reward; talairach; passive;,,SLEA,16.0,-9,-8.0,,,6,,,,2.2e-05
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,beautiful faces > average faces,fMRI; outcome phase; viewing; social reward; talairach; passive;,,SLEA,22.0,3,-15.0,,,6,,,,-5.3e-06
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,beautiful faces > average faces,fMRI; outcome phase; viewing; social reward; talairach; passive;,,SLEA,-15.0,9,-11.0,,,6,,,,-2.1e-07
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,beautiful faces > average faces,fMRI; outcome phase; viewing; social reward; talairach; passive;,,GOb,16.0,45,-11.0,,,6,,,,0.0001
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,NAc and other VS,16.0,18,-5.0,,,6,,,,3.3e-06
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,NAc and other VS,-6.0,15,-2.0,,,6,,,,0.00059
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,VT,13.0,-15,-5.0,,,6,,,,0.00024
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,SLEA,16.0,-9,-8.0,,,6,,,,0.00021
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,SLEA,-24.0,3,-18.0,,,6,,,,0.00025
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,GOb,19.0,48,-11.0,,,6,,,,8.5e-06
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,GOb,-21.0,33,-8.0,,,6,,,,2e-06
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,GOb,-21.0,45,-5.0,,,6,,,,-3.9e-09
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,GOb,34.0,42,-2.0,,,6,,,,-8.6e-11
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,GOb,13.0,54,-8.0,,,6,,,,1.9e-08
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,,GOb,-33.0,24,2.0,,,6,,,,-6.2e-05
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,Beautiful male > Average male,fMRI; outcome phase; viewing; social reward; talairach; passive,,NAc and other VS,7.0,12,2.0,,,6,,,,-6.4e-06
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,Beautiful male > Average male,fMRI; outcome phase; viewing; social reward; talairach; passive,,NAc and other VS,-12.0,9,2.0,,,6,,,,-3.3e-07
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,Beautiful male > Average male,fMRI; outcome phase; viewing; social reward; talairach; passive,,VT,-3.0,-18,-11.0,,,6,,,,3e-06
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,Beautiful male > Average male,fMRI; outcome phase; viewing; social reward; talairach; passive,,SLEA,-18.0,9,-15.0,,,6,,,,-1.5e-10
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 C- Post-Hoc Fixed Effects Analysis - Contrast - Beautiful male versus Average male,Beautiful male > Average male,fMRI; outcome phase; viewing; social reward; talairach; passive,,SLEA,-12.0,0,-8.0,,,6,,,,-2e-06
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 D - Post-Hoc Fixed Effects Analysis - Contrast - General Gender - all female faces versus all male faces, all female faces > all male faces,fMRI; outcome phase; viewing; social reward; talairach; passive,,VT,-6.0,-18,-8.0,,,6,,,,0.00034
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 D - Post-Hoc Fixed Effects Analysis - Contrast - General Gender - all female faces versus all male faces, all female faces > all male faces,fMRI; outcome phase; viewing; social reward; talairach; passive,,Amyg,-12.0,-3,-24.0,,,6,,,,-0.00023
