importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,NAc and other VS,,,-12.121,3.192,-2.199,,,3.8e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,VT,,,13.131,-15.187,-6.837,,,4.9e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,VT,,,19.192,-21.519,-3.627,,,4.8e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,SLEA,,,19.192,10.04,-17.299,,,5.9e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,SLEA,,,-18.182,10.04,-17.299,,,1.4e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,SLEA,,,-30.303,-2.677,-9.69,,,-2.2e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,GOb,,,28.283,46.591,-3.267,,,-1.4e-07,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,GOb,,,-21.212,18.946,-8.441,,,9.5e-08,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,GOb,,,-18.182,46.591,-3.267,,,-7.8e-09,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,Amyg,,,0.0,3.862,-17.656,,,-0.00019,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,NAc and other VS,,,16.162,18.791,-4.874,,,-0.0001,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,NAc and other VS,,,-9.091,6.075,2.497,,,-4e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,VT,,,-6.061,-18.121,-10.583,,,1.9e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,VT,,,10.101,-24.454,-7.373,,,0.00025,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,SLEA,,,-18.182,10.04,-17.299,,,-1.4e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,GOb,,,22.222,52.615,0.599,,,3.3e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,GOb,,,-24.242,43.142,4.453,,,1.2e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,GOb,,,34.343,43.348,0.11,,,5.1e-05,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,GOb,,,-33.333,24.969,-4.517,,,1.9e-06,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,Amyg,,,-18.182,0.773,-17.835,,,-0.00063,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,Amyg,,,-27.273,-5.096,-25.326,,,0.0005,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,Amyg,,,28.283,4.532,-33.113,,,0.00016,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male,fMRI; outcome phase; decision making; social reward; talairach(converted); passive,,Hypo,,,3.03,-11.943,-10.226,,,2.4e-05,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,8.11,8.081,19.664,64.16,,81.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,7.16,12.121,58.586,27.034,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,8.21,-2.02,59.204,14.007,,908.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,6.85,-2.02,38.815,52.111,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,8.78,8.081,56.526,26.925,,1229.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward; context-dependent reward,R,Medial aspect of superior frontal gyrus,,7.7,10.101,15.442,66.114,,32.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,6.55,-8.081,19.664,64.16,,111.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward; context-dependent reward,L,Medial aspect of superior frontal gyrus,,8.35,-4.04,50.451,24.428,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 1 - Brain activities for four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward; context-dependent reward,R,Middle temporal gyrus,,5.29,60.606,-11.737,-14.982,,22.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,R,Ventral striatum,,8.67,24.242,0.412,-9.512,,400.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,L,Ventral striatum,,8.61,-26.263,-1.441,-14.387,,88.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,R,Lingual gyrus,,9.47,16.162,-69.397,-18.314,,10028.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,L,Lingual gyrus,,10.63,-16.162,-88.446,-7.495,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,R,Inferior temporal gyrus,,8.99,40.404,-79.694,-18.909,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,L,Inferior temporal gyrus,,9.88,-42.424,-63.219,-17.957,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,R,Posterior lobe of cerebellum,,9.45,-10.101,-73.104,-28.064,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 2 - Brain activities for Win 1 versus Lose 1,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling;positive reward,L,Posterior lobe of cerebellum,,8.52,-34.343,-64.248,-41.856,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,R,Ventral striatum,,6.88,26.263,2.575,-11.771,,26.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,L,Ventral striatum,,7.51,-24.242,4.737,-14.03,,64.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,R,Posterior lobe of cerebellum,,8.69,38.384,-76.81,-37.814,,2426.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,L,Posterior lobe of cerebellum,,8.15,-28.283,-79.281,-28.421,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 3 - Brain acitivities for all wins versus all losses,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,L,Lateral occipital cortex,,7.86,-22.222,-94.418,-12.608,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,L,Medial aspect of superior frontal gyrus,,10.57,-8.081,58.379,31.376,,1975.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,R,Medial aspect of superior frontal gyrus,,9.05,4.04,56.423,29.097,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,L,Medial aspect of superior frontal gyrus,,8.53,-4.04,46.848,13.355,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,L,Medial aspect of superior frontal gyrus,,6.9,-6.061,17.501,66.222,,92.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of win,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward,,Posterior cingulate gyrus,,6.51,0.0,-26.669,39.949,,52.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward,R,Medial aspect of superior frontal gyrus,,9.76,4.04,52.305,28.879,,2528.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward,R,Middle temporal gyrus,,5.06,58.586,-13.281,-26.991,,3.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward,L,Middle temporal gyrus,,5.7,-58.586,-13.384,-24.613,,25.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 4 - modulation by the subjects arousal in the events of loss,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward,,Vermis,,5.02,6.061,-63.528,-10.823,,2.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a win following four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward; context-dependent reward,R,Middle frontal gyrus,,7.52,34.343,19.973,57.646,,850.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a win following four losses in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; positive reward; context-dependent reward,R,Middle frontal gyrus,,5.98,26.263,41.287,43.534,,,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a loss following four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward; context-dependent reward,R,Middle frontal gyrus,,5.38,36.364,29.034,40.711,,317.0,,
+,Akitsuki et al,Context-dependent cortical activation in response to financial reward and penalty  an event-related fMRI study,Table 5 - Brain activities for a loss following four wins in a row,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; negative reward; context-dependent reward,R,Middle frontal gyrus,,4.94,26.263,13.692,59.492,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,,Medial OFC,,4.84,0.0,45.716,-6.894,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Lateral OFC,,4.62,-16.162,44.172,-18.903,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Lateral OFC,,5.23,-18.182,40.157,-21.519,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Inferior frontal gyrus pars triangularis,,4.7,-44.444,32.33,14.766,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Middle frontal gyrus,,6.75,-26.263,32.741,49.613,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Posterior middle frontal gyrus,,4.64,-22.222,1.645,52.326,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Superior frontal gyrus,,5.38,26.263,26.254,55.801,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Posterior superior frontal gyrus (SMA),,5.54,2.02,-2.37,49.938,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Cingulate cortex,,5.06,-4.04,-20.595,42.446,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Ventral striatum,,8.37,-16.162,8.855,-13.792,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Ventral striatum,,7.73,28.283,0.515,-11.89,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Dorsal thalamus,,5.46,-10.101,-11.224,18.998,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Superior temporal gyrus,,7.57,-60.606,-12.459,1.519,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Superior temporal gyrus,,7.63,62.626,2.265,-4.637,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Inferior temporal gyrus,,6.66,-54.545,-62.807,-27.469,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,,Cerebellar vermis,,4.89,0.0,-39.434,-42.806,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Cerebellar hemisphere,,6.69,-28.283,-54.467,-29.371,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Retrosplenial cortex,,5.02,2.02,-52.306,14.653,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Lingual gyrus,,5.1,-14.141,-67.853,-6.305,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Occipital cortex,,6.39,-26.263,-86.491,38.969,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Occipital cortex,,5.4,32.323,-77.842,30.719,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Posterior inferior occipital cortex,,4.82,28.283,-93.799,-26.876,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Precentral gyrus,,5.3,-38.384,-19.05,53.411,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Precentral gyrus,,4.97,24.242,-25.537,59.598,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Precentral gyrus,,6.36,58.586,-1.855,39.082,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Central sulcus,,4.76,-46.465,-14.004,34.087,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,R,Paracentral lobule,,5.57,2.02,-39.746,54.495,,,,
+,Cox et al,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,fMRI;outcome phase;decision making;monetary reward;talairach(converted);gambling;conditioning task,L,Superior parietal lobule,,4.77,-22.222,-63.942,42.336,,,,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,R,Cingulate gyrus/SMA,6/32,,4.04,5.043,45.975,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,L,Primary somatosensory cortex,3/1/2,,-44.444,-28.78,40.926,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,L,Precentral gyrus,6,,-51.515,-4.069,42.23,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,R,Inferior parietal,40,,67.677,-23.271,33.598,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,L,Inferior parietal,40,,-40.404,-24.712,20.462,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,R,Inferior frontal gyrus,44,,46.465,5.816,29.691,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,L,Inferior frontal gyrus,44,,-44.444,0.205,17.424,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,R,Inferior frontal gyrus,45,,47.475,18.327,5.32,,,0.0001,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach(converted); gambling; time effect;increasing activation,L,Inferior frontal gyrus,45,,-18.182,28.263,13.463,,,0.0001,
