importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Right,temporoparietal junction,nan,,56,-40,26,3.52,,0.035,,316,56,-40,26,Right-SupramargGyr (40),55,-38,26,Right-SupramargGyr ,40.0
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Left,temporoparietal junction,nan,,-54,-40,20,3.9,,0.03,,317,-54,-40,20,Left-SupTempGyrus (22),-52,-39,21,Left-SupTempGyrus ,22.0
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Right,medial parietal cortex,nan,,6,-32,60,5.08,,0.027,,318,6,-32,60,Right-PrimMotor (4),6,-28,54,Right-PrimMotor ,4.0
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Right,lateral parietal cortex,nan,,62,-34,28,3.39,,0.039,,319,62,-34,28,Right-SupramargGyr (40),60,-32,28,Right-SupramargGyr ,40.0
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Right,precentral gyrus,nan,,34,-18,48,4.67,,0.027,,320,34,-18,48,Right-PrimMotor (4),34,-15,45,Right-PrimMotor ,4.0
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Left,posterior cingulate cortex,nan,,-6,-26,46,4.66,,0.027,,321,-6,-26,46,Left-DorsalPCC (31),-5,-23,42,Left-DorsalPCC ,31.0
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Right,cerebellum,nan,,42,-72,-46,4.36,,0.027,,322,42,-72,-46,Outside defined BAs,43,-74,-36,Outside defined BAs,
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Left,postcentral gyrus,nan,,-38,-30,38,3.98,,0.029,,323,-38,-30,38,Left-PrimSensory (1),-37,-28,36,Left-PrimSensory ,1.0
+,Greck et al,Is our self based on reward - Self-relatedness recruits neural activity in the reward system,Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,fMRI; reward value; outcome phase; decision making; MNI; gambling;positive reward,Left,thalamus,nan,,-14,-28,12,3.48,,0.036,,324,-14,-28,12,Left-Thalamus,-13,-28,14,Left-Thalamus,
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Right,pifs,9,7.2,39,16,33,6e-06,,,,325,39,16,33,Right-FrontEyeFields (8),38,17,32,Right-FrontEyeFields ,8.0
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Right,pifs,9,6.8,51,16,45,9e-06,,,,326,51,16,45,Outside defined BAs,50,18,43,Outside defined BAs,
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Right,pifs,8,5.3,40,6,44,9.4e-05,,,,327,40,6,44,Right-FrontEyeFields (8),40,8,42,Right-FrontEyeFields ,8.0
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Right,ains,13,5.5,41,19,9,6.6e-05,,,,328,41,19,9,Right-Broca-Operc (44),39,17,11,Right-Broca-Operc ,44.0
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Left,ppar,40,7.3,-36,-57,50,4e-06,,,,329,-36,-57,50,Left-AngGyrus (39),-36,-54,46,Left-AngGyrus ,39.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,ventral medial pfc,nan,,9,42,-12,3.54,,,,330,9,42,-12,Right-OrbFrontal (11),8,37,-12,Right-OrbFrontal ,11.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,ventral medial pfc,nan,,9,66,6,3.46,,,,331,9,66,6,Right-AntPFC (10),8,61,3,Right-AntPFC ,10.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,medial ofc,nan,,12,36,-18,3.11,,,,332,12,36,-18,Right-OrbFrontal (11),11,31,-16,Right-OrbFrontal ,11.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,medial ofc,nan,,3,15,-12,3.22,,,,333,3,15,-12,Outside defined BAs,2,11,-8,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,L,lateral ofc,nan,,-39,42,-15,3.9,,,,334,-39,42,-15,Left-ParsOrbitalis (47),-38,37,-11,Left-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,L,posterior cingulate cortex,nan,,-9,-33,45,3.97,,,,335,-9,-33,45,Left-DorsalPCC (31),-8,-30,42,Left-DorsalPCC ,31.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,posterior cingulate cortex,nan,,-9,-42,45,4.53,,,,336,-9,-42,45,Left-DorsalPCC (31),-8,-39,42,Left-DorsalPCC ,31.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,caudolateral ofc,nan,,-27,18,-15,3.23,,,,337,-27,18,-15,Left-Insula (13),-27,13,-10,Left-Insula ,13.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,medial ofc,nan,,-6,18,-12,3.12,,,,338,-6,18,-12,Left-Subgenual (25),-6,14,-8,Left-Subgenual ,25.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,amygdala,nan,,-27,-3,-27,3.58,,,,339,-27,-3,-27,Left-Amygdala,-27,-6,-20,Left-Amygdala,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,R,border of ventral amygdala,nan,,33,-6,-33,3.37,,,,340,33,-6,-33,Right-Parahipp (36),32,-9,-25,Right-Parahipp ,36.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,ventral medial pfc,nan,,9,42,-12,3.54,,,,341,9,42,-12,Right-OrbFrontal (11),8,37,-12,Right-OrbFrontal ,11.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,ventral medial pfc,nan,,9,66,6,3.46,,,,342,9,66,6,Right-AntPFC (10),8,61,3,Right-AntPFC ,10.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,medial ofc,nan,,12,36,-18,3.11,,,,343,12,36,-18,Right-OrbFrontal (11),11,31,-16,Right-OrbFrontal ,11.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,medial ofc,nan,,3,15,-12,3.22,,,,344,3,15,-12,Outside defined BAs,2,11,-8,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,L,lateral ofc,nan,,-39,42,-15,3.9,,,,345,-39,42,-15,Left-ParsOrbitalis (47),-38,37,-11,Left-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,L,posterior cingulate cortex,nan,,-9,-33,45,3.97,,,,346,-9,-33,45,Left-DorsalPCC (31),-8,-30,42,Left-DorsalPCC ,31.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,posterior cingulate cortex,nan,,-9,-42,45,4.53,,,,347,-9,-42,45,Left-DorsalPCC (31),-8,-39,42,Left-DorsalPCC ,31.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; negative reward,R,anterior insular cortex,nan,,42,27,0,3.15,,,,348,42,27,0,Right-ParsOrbitalis (47),40,24,3,Right-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; negative reward,R,lateral prefrontal cortex,nan,,51,24,0,4.19,,,,349,51,24,0,Right-Broca-Triang (45),48,21,4,Right-Broca-Triang ,45.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-b - Effects of valence of outcome - Imperative task - punishment > reward,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward; viewing; passive,R,lateral ofc,nan,,45,36,-9,3.21,,,,350,45,36,-9,Right-ParsOrbitalis (47),43,32,-4,Right-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-b - Effects of valence of outcome - Imperative task - punishment > reward,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward; viewing; passive,,dorsal medial pfc,nan,,0,48,21,3.65,,,,351,0,48,21,Right-dlPFC(dorsal) (9),0,45,18,Right-dlPFC(dorsal) ,9.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-c - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - punishment > reward ,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward,R,lateral pfc,nan,,51,21,-3,3.68,,,,352,51,21,-3,Right-ParsOrbitalis (47),48,18,1,Right-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,,medial ofc,nan,,0,42,-18,3.37,,,,353,0,42,-18,Right-OrbFrontal (11),0,36,-18,Right-OrbFrontal ,11.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,lateral ofc,nan,,-42,36,-18,3.53,,,,354,-42,36,-18,Left-ParsOrbitalis (47),-41,31,-14,Left-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,medial pfc,nan,,-3,54,-9,3.23,,,,355,-3,54,-9,Left-AntPFC (10),-3,48,-10,Left-AntPFC ,10.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,posterior cingulate cortex,nan,,-3,-54,15,3.86,,,,356,-3,-54,15,Left-VentPostCing (23),-2,-52,17,Left-VentPostCing ,23.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,anterior insula-caudolateral ofc,nan,,36,27,-9,3.78,,,,357,36,27,-9,Right-ParsOrbitalis (47),34,23,-4,Right-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,dorsal anterior cingulate cortex,nan,,-3,21,42,4.58,,,,358,-3,21,42,Left-FrontEyeFields (8),-2,22,38,Left-FrontEyeFields ,8.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,dorsal anterior cingulate cortex,nan,,3,33,36,4.71,,,,359,3,33,36,Right-FrontEyeFields (8),2,33,33,Right-FrontEyeFields ,8.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,para-cingulate cortex,nan,,-6,12,51,5.05,,,,360,-6,12,51,Left-PreMot+SuppMot (6),-5,14,46,Left-PreMot+SuppMot ,6.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,R,medial ofc,nan,,9,39,-18,3.56,,,,361,9,39,-18,Right-OrbFrontal (11),8,34,-17,Right-OrbFrontal ,11.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,L,lateral ofc,nan,,-42,42,-15,4.35,,,,362,-42,42,-15,Left-ParsOrbitalis (47),-41,37,-11,Left-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,R,central ofc,nan,,18,39,-9,3.43,,,,363,18,39,-9,Outside defined BAs,17,34,-7,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response maintenance,R,medial ofc,nan,,3,27,-12,3.27,,,,364,3,27,-12,Right-OrbFrontal (11),2,23,-9,Right-OrbFrontal ,11.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response maintenance,R,central ofc,nan,,24,36,-6,4.26,,,,365,24,36,-6,Outside defined BAs,23,32,-3,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,L,dorsal anterior cingulate cortex,nan,,-3,21,39,3.67,,,,366,-3,21,39,Left-FrontEyeFields (8),-2,22,36,Left-FrontEyeFields ,8.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,dorsal anterior cingulate cortex,nan,,6,27,33,3.76,,,,367,6,27,33,Right-FrontEyeFields (8),5,27,30,Right-FrontEyeFields ,8.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,dorsal anterior cingulate cortex,nan,,9,21,39,3.58,,,,368,9,21,39,Right-FrontEyeFields (8),9,22,36,Right-FrontEyeFields ,8.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,L,caudate nucleus,nan,,-6,3,0,3.78,,,,369,-6,3,0,Outside defined BAs,-6,0,3,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,caudate nucleus,nan,,21,0,18,3.67,,,,370,21,0,18,Outside defined BAs,20,-1,18,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,caudate nucleus,nan,,15,18,3,3.92,,,,371,15,18,3,Right-Caudate,14,15,5,Right-Caudate,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,putamen,nan,,21,0,-3,3.39,,,,372,21,0,-3,Right-GlobPal,20,-2,1,Right-GlobPal,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,R,caudate nucleus,nan,,33,3,6,4.73,,,,373,33,3,6,Outside defined BAs,31,0,8,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,,posterior cingulate cortex,nan,,0,-15,48,5.21,,,,374,0,-15,48,Right-PreMot+SuppMot (6),0,-12,44,Right-PreMot+SuppMot ,6.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,lateral ofc,nan,,-30,42,-9,3.28,,,,375,-30,42,-9,Outside defined BAs,-29,37,-7,Outside defined BAs,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-e - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,anterior insula-caudolateral ofc,nan,,-33,21,-18,3.69,,,,376,-33,21,-18,Left-ParsOrbitalis (47),-33,16,-13,Left-ParsOrbitalis ,47.0
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-e - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,anterior insula-caudolateral ofc,nan,,39,24,-12,4.08,,,,377,39,24,-12,Right-ParsOrbitalis (47),37,20,-6,Right-ParsOrbitalis ,47.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,anterior cingulate cortex,24,,-2,42,8,3.63,,,,465,-2,42,8,Left-DorsalACC (32),-2,38,7,Left-DorsalACC ,32.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,paracingulate sulcus,32,,0,44,36,3.32,,,,466,0,44,36,Right-dlPFC(dorsal) (9),0,43,32,Right-dlPFC(dorsal) ,9.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,anterior cingulate cortex,nan,,2,44,12,3.5,,,,467,2,44,12,Outside defined BAs,1,40,10,Outside defined BAs,
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,anterior cingulate cortex,nan,,2,46,16,3.62,,,,468,2,46,16,Right-AntPFC (10),1,43,14,Right-AntPFC ,10.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,anterior cingulate cortex,nan,,2,46,20,3.83,,0.000442,941.0,469,2,46,20,Right-dlPFC(dorsal) (9),1,43,18,Right-dlPFC(dorsal) ,9.0
